127.0.0.1, 2016-06-17 19:52:14, GET, /, HTTP/1.1, 303, 0.012000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/default/index, HTTP/1.1, 200, 1.486000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-21 19:38:20, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2016-06-21 19:38:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.754000
127.0.0.1, 2016-06-21 19:38:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-21 19:38:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.145000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-06-21 19:38:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-06-21 19:38:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-21 19:38:23, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-06-21 19:38:23, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-21 19:38:23, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-06-21 19:38:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-06-22 18:56:58, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/default/index, HTTP/1.1, 200, 3.330000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.024000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.087000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.071000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.109000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.023000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.052000
127.0.0.1, 2016-06-22 18:57:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.035000
127.0.0.1, 2016-06-22 18:57:03, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 18:57:03, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.129000
